,fpos1,fpos2,fvel1,fvel2,facc1,facc2,spos1,spos2,svel1,svel2,sacc1,sacc2
2403,0.19302049814827052,0.18112860414830154,0.2558493890334919,0.24143162475953317,0.17955015669902638,0.13187999424444066,0.16261695655768893,0.2565510575936188,0.1174817925604221,0.4872775739093785,-0.12625981284799495,0.4877386391068871
2404,0.19168985416284584,0.1806700775568682,0.2526215124083906,0.24006009722143,0.17583191832451342,0.13023945200031556,0.16273437505167973,0.2570385790320391,0.11735519542139461,0.4877653029307867,-0.126597139027276,0.4877290214077958
2405,0.1933400068236007,0.18280103184002652,0.2557986343988936,0.24425127193940932,0.17910686839811207,0.134670666554177,0.16285166677987464,0.25752658819423585,0.11722826096831229,0.4882530214629478,-0.12693445308238932,0.4877185321613403
2406,0.1955817274605991,0.18616624737662837,0.2602428140441198,0.25108885076831267,0.18376068402043563,0.14198451566137552,0.1629688314049655,0.2580150850692845,0.11710098921341588,0.4887407286342562,-0.1272717548963788,0.4877071713083475
2407,0.20185535495474174,0.1794942913184724,0.27334192488849907,0.23636136708376668,0.1978527584023629,0.12576028253603816,0.16308586858965674,0.25850406964538813,0.11697338016906286,0.4892284235730394,-0.1276090443530377,0.4876949387832216
2408,0.19792175804892112,0.1774235199009638,0.26450369530840173,0.23153161919135556,0.1879937114369113,0.12035344957411152,0.16320277799666502,0.25899354190987856,0.11684543384768359,0.4897161054075087,-0.12794632137901912,0.48768183446888524
2409,0.19915540146598115,0.17587735803410157,0.26677310037954427,0.2278335391311356,0.19026461499263306,0.11618738494962284,0.16331955928871977,0.25948350184921515,0.11671715026168528,0.490203773265809,-0.12828358599840903,0.487667858300417
2410,0.2024341164283684,0.17431293164091854,0.2734326508773369,0.22409992314169944,0.19732263893375826,0.11198722980463505,0.1634362121285624,0.259973949448986,0.1165885294234254,0.4906914262761378,-0.1286208382601657,0.4876530103292355
2411,0.20355946193131558,0.1717802831451422,0.2754596660579577,0.21829030853946843,0.19931877855783278,0.10552694000970586,0.1635527361789467,0.2604648846939075,0.1164595713452462,0.4911790635668014,-0.128958078178781,0.48763729066294964
2412,0.19969367556918785,0.16418829956197786,0.26676319638764706,0.20161891829300937,0.18961405299661316,0.08722441651852528,0.16366913110263898,0.26095630756782406,0.11633027603942706,0.49166668426626087,-0.1292953058191949,0.48762069945951747
